Playlist Name,Playlist ID,Track Name,Artist
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,We Three,Cory Weeds
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Ithaka,Copenhagen Jazzexperience
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Old Folks,Erik von Spreckelsen
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Body and Soul,Brandon Sanders
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Cry Me a River,Dominick Farinacci
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,It's In The Middle Of The Night,Tate Jackson Trio
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Answer Me,Hans Ulrik
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,On Late Nights,Snorre Kirk
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Woodwind,Jan Harbeck Quartet
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,Misty,Carl Winther
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Cry Me a River,Dominick Farinacci
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Answer Me,Hans Ulrik
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,On Late Nights,Snorre Kirk
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Woodwind,Jan Harbeck Quartet
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,I Know Why (And So Do You),Red Garland
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Naoko,Sebastian Gahler
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,So Tender,Keith Jarrett
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,It Ain't Necessarily So,Mary Lou Williams
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Ruby My Dear,Roy Hargrove
Late Night Jazz,37i9dQZF1DX4wta20PHgwo,Search for Peace,Jim Snidero
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,Come Away With Me,Norah Jones
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,By Your Side,Sade
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,Moon River,Carla Bruni
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,"Don't Think Twice, It's Alright",Emilie-Claire Barlow
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,L-O-V-E,Gregory Porter
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,Just The Way You Are,Diana Krall
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,The Sun Is Shining for Our Love,Jeff Cascaro
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,Ain't No Sunshine,Ida Sand
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,Those Sweet Words,Norah Jones
Easy Jazz,37i9dQZF1DWT4nLmUaFDGb,I Only Want To Be With You,Shelby Lynne
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Take Five,The Dave Brubeck Quartet
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Unforgettable,Nat King Cole
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,I'll Be Seeing You,Billie Holiday
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Stormy Weather,Etta James
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,I Fall In Love Too Easily,Chet Baker
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Fly Me To The Moon,Astrud Gilberto
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Dream A Little Dream Of Me - Single Version,Ella Fitzgerald
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,A Kiss To Build A Dream On - Single Version,Louis Armstrong
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,In A Sentimental Mood,Duke Ellington
Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,Blue Moon,Billie Holiday
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition,Herbie Hancock
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Song For My Father,Horace Silver
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,The Sidewinder,ARTEMIS
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Ceora,Lee Morgan
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,central park west,Joel Ross
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Water Spirits: Izinkonjana,Nduduzo Makhathini
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Moanin',Art Blakey & The Jazz Messengers
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Freedom March - Remastered,Grant Green
Jazz Classics Blue Note Edition,37i9dQZF1DWTR4ZOXTfd9K,Cheese Cake - Remastered 1999/Rudy Van Gelder Edition,Dexter Gordon
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Plage des Casernes,The Offline
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Oyster Jam,dublon
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Solace,Zmeyev
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,P_Optimist,Butterscotch
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Urban Oasis,Mindeliq
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Hidden Gems,SamuW
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Emerald,xander.
Jazzy Beats,37i9dQZF1DWVw7xU7q62kt,Jezerro,ØDYSSEE
