Playlist Name,Playlist ID,Track Name,Artist
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,Miss Americana & The Heartbreak Prince,Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,Cruel Summer,Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,The Man,Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,You Need To Calm Down,Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,Lover,Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,Fearless (Taylor’s Version),Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,You Belong With Me (Taylor’s Version),Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,Love Story (Taylor’s Version),Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,22 (Taylor's Version),Taylor Swift
Taylor Swift | The Eras Tour Official Setlist,37i9dQZF1DX0D996ZXujBy,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Fortnight (feat. Post Malone),Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Blank Space (Taylor's Version),Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,I Can Do It With a Broken Heart,Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Cruel Summer,Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Down Bad,Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Anti-Hero,Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Love Story (Taylor’s Version),Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,...Ready For It?,Taylor Swift
This Is Taylor Swift,37i9dQZF1DX5KpP2LN299J,Who’s Afraid of Little Old Me?,Taylor Swift
Trending Now India,37i9dQZF1DXbVhgADFy3im,"Naina (From ""Crew"")",Diljit Dosanjh
Trending Now India,37i9dQZF1DXbVhgADFy3im,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Jaani
Trending Now India,37i9dQZF1DXbVhgADFy3im,"Sajni (From ""Laapataa Ladies"")",Ram Sampath
Trending Now India,37i9dQZF1DXbVhgADFy3im,Winning Speech,Karan Aujla
Trending Now India,37i9dQZF1DXbVhgADFy3im,"Satranga (From ""ANIMAL"")",Arijit Singh
Trending Now India,37i9dQZF1DXbVhgADFy3im,Husn,Anuv Jain
Trending Now India,37i9dQZF1DXbVhgADFy3im,Pehle Bhi Main,Vishal Mishra
Trending Now India,37i9dQZF1DXbVhgADFy3im,Ve Haaniyaan,Danny
Trending Now India,37i9dQZF1DXbVhgADFy3im,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz
Trending Now India,37i9dQZF1DXbVhgADFy3im,Gulabi Sadi,Sanju Rathod
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,Winning Speech,Karan Aujla
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,MVP,Shubh
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,Don't Look 2,Karan Aujla
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,California Love,Cheema Y
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,Who’s That Girl,Ikka
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,"Lehnga (From ""Jatt & Juliet 3"")",Diljit Dosanjh
Punjabi 101,37i9dQZF1DX5cZuAHLNjGz,ON TOP 2,Karan Aujla
