Playlist Name,Playlist ID,Track Name,Artist
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Drippy,Sidhu Moose Wala
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Don't Look 2,Karan Aujla
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Safety Off,Shubh
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Goin' Off,Karan Aujla
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,MVP,Shubh
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,ON TOP 2,Karan Aujla
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Murder,Real Boss
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Rubicon Drill,Laddi Chahal
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,King Shit,Shubh
Hip Te Hop,37i9dQZF1DWTqYqGLu7kTX,Winning Speech,Karan Aujla
RAP 91,37i9dQZF1DX1ct2TQrAvRf,911 Porsche,MC STAN
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Title Kya Doon?,Vijay Dk
RAP 91,37i9dQZF1DX1ct2TQrAvRf,GOAT SHIT,King
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Up To U,Dhanda Nyoliwala
RAP 91,37i9dQZF1DX1ct2TQrAvRf,"Jagga Jatt (From ""Only Love Gets Reply"")",Ikka
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Bhai Hai,Fotty Seven
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Matha Garam,DG IMMORTALS
RAP 91,37i9dQZF1DX1ct2TQrAvRf,House Of Lies,Ikka
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Dhandho,Munawar Faruqui
RAP 91,37i9dQZF1DX1ct2TQrAvRf,Dil Lena Khel,Dino James
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,Ballaatha Jaathi,NJ
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,Malabari Banger,M.H.R
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,Kuthanthram - Extended,Sushin Shyam
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,"Galatta - From ""Aavesham""",Sushin Shyam
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,Aanne,Kailas
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,PADACHATTA,BABY JEAN
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,"Mathapithakkale - From ""Aavesham""",Sushin Shyam
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,Maniyara,Lil PAYYAN
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,MANKA,Dabzee
Hip Hop Malayalam,37i9dQZF1DX8OdFBus1U8c,BANDANA,BABY JEAN
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,Not Like Us,Kendrick Lamar
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,Houdini,Eminem
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,BAND4BAND (feat. Lil Baby),Central Cee
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,Pedro,Jaxomy
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,I Don't Wanna Wait,David Guetta
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,Type Shit,Future
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,CARNIVAL,¥$
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,redrum,21 Savage
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,Prada,cassö
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,euphoria,Kendrick Lamar
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Bandana,Shubh
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Winning Speech,Karan Aujla
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,One Love,Shubh
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,9:45,Prabh Singh
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,MVP,Shubh
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Faraar,Gurinder Gill
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Still Rollin,Shubh
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Foreigns,AP Dhillon
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Kaun Talha,Talha Anjum
Desi Hip Hop,37i9dQZF1DX2RahGIyQXcJ,Joota Japani,KR$NA
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,NANA NANA,Krackerr
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,OG Choro,Nit-C
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Ego Killer,Dhanda Nyoliwala
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Dupatta Drill,Simiran Kaur Dhadli
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Suit Ki Kadhayi,Old Sinners
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Nonstop,BigMoney
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Haryana Hood,Irshad Khan
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Laado,MC SQUARE
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Kaley Sheshe,Addy Nagar
Hip-Hop Haryanvi,37i9dQZF1DWXpuQNEd48No,Sarcasm,Ravan Malpur
