Playlist Name,Playlist ID,Track Name,Artist
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Lamento Boliviano,Los Enanitos Verdes
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Es Por Ti,Juanes
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Oye Mi Amor,Maná
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Inevitable,Shakira
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Devuélveme a mi chica,Hombres G
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Para No Verte Más,La Mosca Tse-Tse
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,De Música Ligera - Remasterizado 2007,Soda Stereo
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Eres,Café Tacvba
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Flaca,Andrés Calamaro
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,Labios Rotos - En Vivo Desde México / 2010,Zoé
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Coffee,Hinds
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Pagando de Más,Isla Mujeres
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Recuérdame </3,Kidd Voodoo
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Noviembre,Los Bunkers
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Lo Mejor,Conociendo Rusia
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Algo Me Dice,No Te Va Gustar
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,no sé de amor (feat. Leo Rizzi),Walls
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Porcelana,Diamante Eléctrico
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Bar de Playa,107 Faunos
Nuevo Rock Latino,37i9dQZF1DWYZ2zzgvJZul,Moderato,El Mató a un Policía Motorizado
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Lamento Boliviano,Los Enanitos Verdes
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Oye Mi Amor,Maná
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Devuélveme a mi chica,Hombres G
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Locos,León Larregui
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,La flaca,Jarabe De Palo
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Trátame Suavemente - Remasterizado 2007,Soda Stereo
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Flaca,Andrés Calamaro
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Labios Rotos - En Vivo Desde México / 2010,Zoé
Iconos del Rock Latinoamericano,37i9dQZF1DWZeuoGxfO4e2,Afuera,Caifanes
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Devuélveme a mi chica,Hombres G
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Persiana Americana,Soda Stereo
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,En algún lugar,Duncan Dhu
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Tren Al Sur,Los Prisioneros
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Lobo-hombre en París,La Unión
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Lamento Boliviano,Los Enanitos Verdes
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,De Música Ligera - Remasterizado 2007,Soda Stereo
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Matador - Remasterizado 2008,Los Fabulosos Cadillacs
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Cuando Seas Grande,Miguel Mateos - Zas
Grandes Himnos del Rock en Español,37i9dQZF1DX5d5pMk8ynO3,Te quiero,Hombres G
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Viento A Favor,Reyno
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Estoy bien,Vondré
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Día Uno,DRIMS
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,No Más,Viniloversus
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Criminal,Dani Fernández
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Ojalá,The Crab Apples
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Todo Acaba Mal,Kendall Peña
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Mota y Reggaeton,Pollo Bruxo
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,El Cine,Andru
EL ROCK NO HA MUERTO,37i9dQZF1DX11wyL5eCLSa,Como Queremos,Siddhartha
Rockeras,37i9dQZF1DXbFNjGW0o442,Accidente,Las Ligas Menores
Rockeras,37i9dQZF1DXbFNjGW0o442,Mirala Miralo,Alejandra Guzman
Rockeras,37i9dQZF1DXbFNjGW0o442,Boom Boom Back,Hinds
Rockeras,37i9dQZF1DXbFNjGW0o442,No Huyas De Mi,Kenny y los Eléctricos
Rockeras,37i9dQZF1DXbFNjGW0o442,Arte Arte Arte,Barbi Recanati
Rockeras,37i9dQZF1DXbFNjGW0o442,Florecita Rockera,Aterciopelados
Rockeras,37i9dQZF1DXbFNjGW0o442,Fue Amor,Fabiana Cantilo
Rockeras,37i9dQZF1DXbFNjGW0o442,Dimensión 3000,Zöelle
Rockeras,37i9dQZF1DXbFNjGW0o442,"Ojos Claros, Labios Rosas",Ely Guerra
Rockeras,37i9dQZF1DXbFNjGW0o442,oh boi,shego
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Para No Verte Más,La Mosca Tse-Tse
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Trébol,Nasa Histoires
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Amargo Adiós,Inspector
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Amor por el Ska,Skaparapid
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Loco (Tu Forma De Ser),Los Auténticos Decadentes
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,40Tone,Felices Adicciones
Ska Latino ,37i9dQZF1DXdNw9eeM3mpo,Pupilas Lejanas,Los Pericos
